a_team,h_team,a_ML,h_ML,Game_id,Home_team_gen_avg_penalties,Home_team_gen_avg_rush_yards,Home_team_gen_avg_time_of_possesion,Home_team_gen_avg_turnovers,Home_team_gen_avg_pass_yards,Home_team_gen_avg_score,Home_team_gen_avg_points_allowed,Away_team_gen_avg_penalties,Away_team_gen_avg_rush_yards,Away_team_gen_avg_time_of_possesion,Away_team_gen_avg_turnovers,Away_team_gen_avg_pass_yards,Away_team_gen_avg_score,Away_team_gen_avg_points_allowed,Date,Season,h_elo_pre,a_elo_pre
Indianapolis Colts,Houston Texans,120,-160,201911210htx.htm,7.6,140.7,3052.3,1.3,239.5,24.5,23.2,5.6,141.1,3120.4,1.5,202.7,22.7,20,20191121,2019,1562.120558,1561.342977
Seattle Seahawks,Philadelphia Eagles,110,-145,201911240phi.htm,6.6,122.7,3189.4,1.5,215.1,23.4,23,7.1,133.2,3152.3,1.3,256,26.6,25.4,20191124,2019,1562.596685,1601.796914
New York Giants,Chicago Bears,NaN,NaN,201911240chi.htm,6.9,79.9,2876.4,1,182.8,16.9,17.4,6.272727273,94.72727273,2885.545455,2.454545455,222.8181818,20.09090909,29.63636364,20191124,2019,1524.804697,1326.781568
Carolina Panthers,New Orleans Saints,245,-350,201911240nor.htm,7.4,107.5,3281.8,0.6,256.5,23.8,19.9,5.9,126,2859.9,1.9,220.6,22.8,25.7,20191124,2019,1636.889011,1486.410747
Pittsburgh Steelers,Cincinnati Bengals,-230,170,201911240cin.htm,5.8,80.6,2792.1,2,228.5,14.7,27.6,7.1,80.7,2855.9,1.7,202.8,20,19.9,20191124,2019,1293.43101,1546.520649
Detroit Lions,Washington Redskins,-165,125,201911240was.htm,7.6,85.9,2638.8,1.5,169.8,12.5,25.3,8.1,98.7,2995,1.2,281.2,24.1,26.9,20191124,2019,1300.063024,1438.649201
Tampa Bay Buccaneers,Atlanta Falcons,155,-210,201911240atl.htm,7.7,74.5,2951.4,1.6,300.3,22,26.2,8.4,94.8,3090.2,2.5,285.6,27.7,30.7,20191124,2019,1510.183209,1424.844591
Miami Dolphins,Cleveland Browns,250,-360,201911240cle.htm,8.7,121.9,2975,1.7,221,19.2,22.8,5.5,60.3,2761.6,2,202.7,13.9,30.5,20191124,2019,1477.245335,1344.067929
Oakland Raiders,New York Jets,-150,115,201911240nyj.htm,8.3,72.1,2821.2,1.9,176.1,16.4,25.5,8.8,128.2,3024.7,1,243.5,22.5,25,20191124,2019,1363.905029,1470.965789
Denver Broncos,Buffalo Bills,150,-200,201911240buf.htm,7.3,128.7,3000.5,1.2,216.9,21.1,17,7.1,113.1,2930.2,1.1,206.6,17.2,19.7,20191124,2019,1507.663664,1441.918128
Jacksonville Jaguars,Tennessee Titans,135,-180,201911240oti.htm,7.1,113.2,2891.3,1,206.2,20.3,19.7,7.8,119.5,3055,1.3,250.7,18.9,22.2,20191124,2019,1505.323075,1438.983084
Dallas Cowboys,New England Patriots,190,-260,201911240nwe.htm,6.2,91,3231.2,1,268.9,28.7,10.8,7.727272727,135.5454545,2908.090909,1.363636364,307.6363636,29.36363636,19.54545455,20191124,2019,1709.075938,1578.795858
Green Bay Packers,San Francisco 49ers,130,-170,201911240sfo.htm,6.2,149,3376.9,1.7,237.6,29.5,15.2,6.8,102.1,3097.1,0.7,253.9,25,20.5,20191124,2019,1605.645204,1574.064263
Baltimore Ravens,Los Angeles Rams,-170,130,201911250ram.htm,7.7,97.6,2839.6,1.8,268.9,24.3,19.8,7,203.8,3439.7,1,224.8,33.8,19.6,20191125,2019,1590.922061,1670.465858
