,a_team,h_team,a_ML_x,h_ML_x,Unnamed: 0,a_ML_y,h_ML_y,Unnamed: 0.1,Game_id,Unnamed: 0_x,Unnamed: 0.1.1.1.1_x,Unnamed: 0.1.1.1.1_y,Home_team_gen_avg_penalties,Home_team_gen_avg_rush_yards,Home_team_gen_avg_time_of_possesion,Home_team_gen_avg_turnovers,Home_team_gen_avg_pass_yards,Home_team_gen_avg_score,Home_team_gen_avg_points_allowed,Away_team_gen_avg_penalties,Away_team_gen_avg_rush_yards,Away_team_gen_avg_time_of_possesion,Away_team_gen_avg_turnovers,Away_team_gen_avg_pass_yards,Away_team_gen_avg_score,Away_team_gen_avg_points_allowed,Date,Season,h_elo_pre,a_elo_pre
0,Indianapolis Colts,Houston Texans,+120,-160,0,120.0,-160.0,162,201911210htx.htm,14,,,7.6,140.7,3052.3,1.3,239.5,24.5,23.2,5.6,141.1,3120.4,1.5,202.7,22.7,20.0,20191121,2019,1562.1205581844904,1561.34297692363
1,Seattle Seahawks,Philadelphia Eagles,+110,-145,1,110.0,-145.0,172,201911240phi.htm,18,,,6.6,122.7,3189.4,1.5,215.1,23.4,23.0,7.1,133.2,3152.3,1.3,256.0,26.6,25.4,20191124,2019,1562.5966847787802,1601.7969141808499
2,New York Giants,Chicago Bears,NaN,NaN,2,,,165,201911240chi.htm,23,,,6.9,79.9,2876.4,1.0,182.8,16.9,17.4,6.2727272727272725,94.72727272727272,2885.5454545454545,2.4545454545454546,222.8181818181818,20.09090909090909,29.63636363636364,20191124,2019,1524.80469725719,1326.78156833744
3,Carolina Panthers,New Orleans Saints,+245,-350,3,245.0,-350.0,168,201911240nor.htm,20,,,7.4,107.5,3281.8,0.6,256.5,23.8,19.9,5.9,126.0,2859.9,1.9,220.6,22.8,25.7,20191124,2019,1636.88901139018,1486.41074675456
4,Pittsburgh Steelers,Cincinnati Bengals,-230,+170,4,-230.0,170.0,166,201911240cin.htm,22,,,5.8,80.6,2792.1,2.0,228.5,14.7,27.6,7.1,80.7,2855.9,1.7,202.8,20.0,19.9,20191124,2019,1293.4310103174198,1546.5206494324
5,Detroit Lions,Washington Redskins,-165,+125,5,-165.0,125.0,174,201911240was.htm,17,,,7.6,85.9,2638.8,1.5,169.8,12.5,25.3,8.1,98.7,2995.0,1.2,281.2,24.1,26.9,20191124,2019,1300.0630241212,1438.64920098689
6,Tampa Bay Buccaneers,Atlanta Falcons,+155,-210,6,155.0,-210.0,163,201911240atl.htm,16,,,7.7,74.5,2951.4,1.6,300.3,22.0,26.2,8.4,94.8,3090.2,2.5,285.6,27.7,30.7,20191124,2019,1510.1832094623,1424.84459097771
7,Miami Dolphins,Cleveland Browns,+250,-360,7,250.0,-360.0,167,201911240cle.htm,21,,,8.7,121.9,2975.0,1.7,221.0,19.2,22.8,5.5,60.3,2761.6,2.0,202.7,13.9,30.5,20191124,2019,1477.24533533659,1344.06792908211
8,Oakland Raiders,New York Jets,-150,+115,8,-150.0,115.0,170,201911240nyj.htm,19,,,8.3,72.1,2821.2,1.9,176.1,16.4,25.5,8.8,128.2,3024.7,1.0,243.5,22.5,25.0,20191124,2019,1363.90502909481,1470.9657887735598
9,Denver Broncos,Buffalo Bills,+150,-200,9,150.0,-200.0,164,201911240buf.htm,15,,,7.3,128.7,3000.5,1.2,216.9,21.1,17.0,7.1,113.1,2930.2,1.1,206.6,17.2,19.7,20191124,2019,1507.66366436038,1441.91812760513
10,Jacksonville Jaguars,Tennessee Titans,+135,-180,10,135.0,-180.0,171,201911240oti.htm,24,,,7.1,113.2,2891.3,1.0,206.2,20.3,19.7,7.8,119.5,3055.0,1.3,250.7,18.9,22.2,20191124,2019,1505.3230745553399,1438.9830838996802
11,Dallas Cowboys,New England Patriots,+190,-260,11,190.0,-260.0,169,201911240nwe.htm,25,,,6.2,91.0,3231.2,1.0,268.9,28.7,10.8,7.7272727272727275,135.54545454545453,2908.090909090909,1.3636363636363635,307.6363636363636,29.363636363636363,19.545454545454547,20191124,2019,1709.07593778041,1578.79585811905
12,Green Bay Packers,San Francisco 49ers,+130,-170,12,130.0,-170.0,173,201911240sfo.htm,26,,,6.2,149.0,3376.9,1.7,237.6,29.5,15.2,6.8,102.1,3097.1,0.7,253.9,25.0,20.5,20191124,2019,1605.64520401337,1574.0642633373902
13,Baltimore Ravens,Los Angeles Rams,-170,+130,13,-170.0,130.0,175,201911250ram.htm,27,,,7.7,97.6,2839.6,1.8,268.9,24.3,19.8,7.0,203.8,3439.7,1.0,224.8,33.8,19.6,20191125,2019,1590.92206148874,1670.46585755465
